Measure.Identifier,Op,Op-Service
PQRS_GRP_110_1,1,2
PQRS_GRP_112_1,1,2
PQRS_GRP_113_1,1,2
PQRS_GRP_117_1,1,2
PQRS_GRP_121_1,1,2
PQRS_GRP_126_1,1,
PQRS_GRP_127_1,1,
PQRS_GRP_128_1,1,2
PQRS_GRP_130_1,1,
PQRS_GRP_131_1,1,2
PQRS_GRP_134_1,1,2
PQRS_GRP_137_1,1,2
PQRS_GRP_138_1,1,
PQRS_GRP_140_1,1,2
PQRS_GRP_141_1,1,
PQRS_GRP_143_1,1,
PQRS_GRP_144_1,1,2
PQRS_GRP_145_1,1,
PQRS_GRP_146_1,1,
PQRS_GRP_147_1,1,
PQRS_GRP_154_1,1,
PQRS_GRP_155_1,1,2
PQRS_GRP_156_1,1,
PQRS_GRP_163_1,1,
PQRS_GRP_173_1,1,2
PQRS_GRP_178_1,1,
PQRS_GRP_181_1,1,2
PQRS_GRP_182_1,1,
PQRS_GRP_185_1,1,
PQRS_GRP_191_1,1,
PQRS_GRP_193_1,1,2
PQRS_GRP_194_1,1,
PQRS_GRP_205_1,1,
PQRS_GRP_217_1,1,
PQRS_GRP_220_1,1,
PQRS_GRP_221_1,1,
PQRS_GRP_224_1,1,
PQRS_GRP_225_1,1,2
PQRS_GRP_226_1,1,2
PQRS_GRP_24_1,1,
PQRS_GRP_250_1,1,
PQRS_GRP_261_1,1,
PQRS_GRP_265_1,1,2
PQRS_GRP_317_1,1,
PQRS_GRP_318_1,1,2
PQRS_GRP_320_1,1,2
PQRS_GRP_32_1,1,
PQRS_GRP_324_1,1,
PQRS_GRP_33_1,1,2
PQRS_GRP_331_1,1,2
PQRS_GRP_332_1,1,
PQRS_GRP_334_1,1,2
PQRS_GRP_358_1,1,2
PQRS_GRP_383_1,1,
PQRS_GRP_386_1,1,2
PQRS_GRP_39_1,1,2
PQRS_GRP_391_1,1,2
PQRS_GRP_391_2,1,2
PQRS_GRP_395_1,1,
PQRS_GRP_397_1,1,
PQRS_GRP_400_1,1,2
PQRS_GRP_40_1,1,
PQRS_GRP_402_1,1,
PQRS_GRP_46_1,1,
PQRS_GRP_46_2,1,
PQRS_GRP_47_1,1,2
PQRS_GRP_48_1,1,
PQRS_GRP_50_1,1,2
PQRS_GRP_54_1,1,2
PQRS_GRP_65_1,1,
PQRS_GRP_68_1,1,
PQRS_GRP_72_1,1,2
