,PQRS_GRP_173_1,PQRS_GRP_47_1,PQRS_GRP_137_1,PQRS_GRP_224_1,CAHPS_GRP_10,PQRS_GRP_7_1,CAHPS_GRP_12,PQRS_GRP_121_1,PQRS_GRP_6_1,CAHPS_GRP_5,PQRS_GRP_119_1,CAHPS_GRP_3,CAHPS_GRP_2,CAHPS_GRP_1,CAHPS_GRP_9,CAHPS_GRP_8,PQRS_GRP_334_1,PQRS_GRP_265_1,PQRS_GRP_128_1,PQRS_GRP_130_1,PQRS_GRP_8_1,PQRS_GRP_317_1,PQRS_GRP_318_1,PQRS_GRP_110_1,PQRS_GRP_117_1,PQRS_GRP_204_1,PQRS_GRP_226_1,PQRS_GRP_113_1,PQRS_GRP_118_1,PQRS_GRP_112_1,PQRS_GRP_134_1,PQRS_GRP_111_1,PQRS_GRP_54_1,PQRS_GRP_39_1,PQRS_GRP_163_1,PQRS_GRP_41_1,PQRS_GRP_146_1,PQRS_GRP_195_1,PQRS_GRP_147_1,PQRS_GRP_225_1,PQRS_GRP_145_1,PQRS_GRP_76_1,PQRS_GRP_21_1,PQRS_GRP_131_1,PQRS_GRP_182_1,PQRS_GRP_193_1,PQRS_GRP_194_1,PQRS_GRP_144_1,PQRS_GRP_155_1,PQRS_GRP_154_1,PQRS_GRP_238_1,PQRS_GRP_51_1,PQRS_GRP_122_1,PQRS_GRP_22_1,PQRS_GRP_23_1,PQRS_GRP_116_1,PQRS_GRP_326_1,PQRS_GRP_5_1,PQRS_GRP_32_1,PQRS_GRP_33_1,PQRS_GRP_331_1,PQRS_GRP_143_1,PQRS_GRP_102_1,PQRS_GRP_48_1,PQRS_GRP_332_1,PQRS_GRP_44_1,PQRS_GRP_71_1,PQRS_GRP_72_1,PQRS_GRP_324_1,PQRS_GRP_358_1,PQRS_GRP_383_1,PQRS_GRP_24_1,PQRS_GRP_46_1,PQRS_GRP_395_1,PQRS_GRP_156_1,PQRS_GRP_181_1,PQRS_GRP_109_1,PQRS_GRP_138_1,PQRS_GRP_250_1,PQRS_GRP_70_1,PQRS_GRP_400_1,PQRS_GRP_126_1,PQRS_GRP_217_1,PQRS_GRP_221_1,PQRS_GRP_220_1,PQRS_GRP_93_1,PQRS_GRP_191_1,PQRS_GRP_19_1,PQRS_GRP_14_1,PQRS_GRP_140_1,PQRS_GRP_12_1,PQRS_GRP_141_1,PQRS_GRP_52_1,PQRS_GRP_337_1,PQRS_GRP_178_1,PQRS_GRP_127_1,PQRS_GRP_100_1,PQRS_GRP_397_1,PQRS_GRP_50_1,PQRS_GRP_67_1,PQRS_GRP_69_1,PQRS_GRP_320_1,PQRS_GRP_185_1,PQRS_GRP_386_1,PQRS_GRP_402_1,PQRS_GRP_68_1,PQRS_GRP_53_1,PQRS_GRP_205_1,PQRS_GRP_391_1,PQRS_GRP_40_1,PQRS_GRP_65_1,PQRS_GRP_82_1,PQRS_GRP_261_1
42102592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,100.0,,,,88.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42105678,,,,,49.0,,27.0,,,59.0,,83.0,86.0,63.0,77.0,83.0,,,45.0,71.0,,80.0,56.0,62.0,55.0,82.0,89.0,65.0,77.0,70.0,9.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42107609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42111981,,,,,68.0,,23.0,,,55.0,,73.0,75.0,42.0,74.0,76.0,,,40.0,56.0,78.0,83.0,41.0,84.0,62.0,92.0,96.0,78.0,88.0,81.0,13.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42124174,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42128548,,,,,68.0,,20.0,,,64.0,,79.0,83.0,56.0,72.0,79.0,,,63.0,59.0,98.0,84.0,79.0,53.0,55.0,81.0,97.0,58.0,88.0,73.0,48.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42205528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,89.0,,,,95.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42205536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,,,,,,,,,,,67.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42206807,87.0,,100.0,100.0,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,,,,,,,,,,,,,,,,,,,
42246050,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,69.0,50.0,,,,87.0,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
